,n_words,multiplicative_coeff,k,b
103,321,1.3157894736842104,0.7797803021720008,8.025980981231784
104,394,1.3157894736842104,0.6951532742616049,8.072048181524135
105,468,1.3157894736842104,0.7979360626834386,8.024721529195489
106,542,1.3157894736842104,0.8104769932015949,8.029304818619407
107,615,1.3157894736842104,0.83471244687,8.015067158207936
108,689,1.3157894736842104,0.8747890861291879,8.00286576087728
109,763,1.3157894736842104,0.8558298539901165,8.001106246604374
110,836,1.3157894736842104,0.875631493535088,7.990696339164325
111,910,1.3157894736842104,0.8800966438417637,7.993944183558756
112,984,1.3157894736842104,0.8367702625155741,8.025725011783086
113,1057,1.3157894736842104,0.8517893702370782,8.002157471215588
114,1131,1.3157894736842104,0.8440655628375341,8.00648243651828
115,1205,1.3157894736842104,0.8087671948195357,8.028747055490564
116,1278,1.3157894736842104,0.8205560243300255,8.02313650929567
117,1352,1.3157894736842104,0.803708932958437,8.041087757984599
118,1426,1.3157894736842104,0.772955738303482,8.052769975868664
119,1500,1.3157894736842104,0.7818424261497512,8.042550389027838
120,100,1.5789473684210527,0.5904223690436327,8.087524240920327
121,173,1.5789473684210527,0.6372628022510807,8.063008016143646
122,247,1.5789473684210527,0.7327111971901701,8.048332391056167
123,321,1.5789473684210527,0.7700374333132595,8.029246224848592
124,394,1.5789473684210527,0.6947356521238397,8.071184121519265
125,468,1.5789473684210527,0.8018024999350395,8.021762453471977
126,542,1.5789473684210527,0.8048596265802527,8.029761341496215
127,615,1.5789473684210527,0.8370326609556882,8.012665336637303
128,689,1.5789473684210527,0.8748294759235763,7.998128462616809
129,763,1.5789473684210527,0.8482041608722185,8.002294933147011
130,836,1.5789473684210527,0.8577675509149971,7.997082181246426
131,910,1.5789473684210527,0.8598312122574983,8.003648243412808
132,984,1.5789473684210527,0.8379003538883982,8.023055572665406
133,1057,1.5789473684210527,0.8450675940583225,8.002155069656919
134,1131,1.5789473684210527,0.8271958197544425,8.011073848536304
135,1205,1.5789473684210527,0.808479430495017,8.029421030694326
136,1278,1.5789473684210527,0.8272848711751465,8.017054042622071
137,1352,1.5789473684210527,0.7958657673867587,8.043612798703139
138,1426,1.5789473684210527,0.7628215475337788,8.058298671138878
139,1500,1.5789473684210527,0.772999427311609,8.044363787869411
140,100,1.8421052631578947,0.5846385894185778,8.089692059848002
141,173,1.8421052631578947,0.6243705844697849,8.07437048518605
142,247,1.8421052631578947,0.7399145559222501,8.042525103401509
143,321,1.8421052631578947,0.7765066409410212,8.023325382956315
144,394,1.8421052631578947,0.6941372983033128,8.072431428790962
145,468,1.8421052631578947,0.7998351726541184,8.021161393012395
146,542,1.8421052631578947,0.81248698791495,8.024392573229031
147,615,1.8421052631578947,0.8400420984782465,8.009230091232
148,689,1.8421052631578947,0.8780663950943282,7.994891554371972
149,763,1.8421052631578947,0.8411179660399616,8.004124929970343
150,836,1.8421052631578947,0.8702701909997714,7.99087060868114
151,910,1.8421052631578947,0.8491278441797391,8.009521774648265
152,984,1.8421052631578947,0.8291196722262859,8.024908717710138
153,1057,1.8421052631578947,0.8246293541050752,8.01209177063422
154,1131,1.8421052631578947,0.8326422781950128,8.009001351897343
155,1205,1.8421052631578947,0.7978755071347418,8.035887572593346
156,1278,1.8421052631578947,0.8131173948383805,8.026735874196243
157,1352,1.8421052631578947,0.7888027898377504,8.043293710039713
158,1426,1.8421052631578947,0.7400221883207445,8.068290694058854
159,1500,1.8421052631578947,0.7787045631676386,8.042410516750111
160,100,2.1052631578947367,0.5855473941891204,8.086910833713457
161,173,2.1052631578947367,0.6185381157851857,8.073637472275713
162,247,2.1052631578947367,0.7353744676060557,8.043348860055488
163,321,2.1052631578947367,0.7644607307832707,8.031798342806164
164,394,2.1052631578947367,0.6915480602265592,8.070705818775833
165,468,2.1052631578947367,0.7928765167879744,8.022487585252554
166,542,2.1052631578947367,0.7907111494564416,8.03616679378388
167,615,2.1052631578947367,0.8147594184649144,8.022144372024705
168,689,2.1052631578947367,0.8611635760548114,8.00079064989917
169,763,2.1052631578947367,0.834693092668914,8.005577120587539
170,836,2.1052631578947367,0.8483236536330074,7.9983064563441
171,910,2.1052631578947367,0.8452397477423547,8.006484362973557
172,984,2.1052631578947367,0.8247351302597928,8.025417199014896
173,1057,2.1052631578947367,0.8159188289272169,8.017658584294882
174,1131,2.1052631578947367,0.8194391183782315,8.013995802347193
175,1205,2.1052631578947367,0.7861251333417284,8.036977337421714
176,1278,2.1052631578947367,0.798993226846035,8.030996247327048
177,1352,2.1052631578947367,0.7945217815408712,8.03969834892043
178,1426,2.1052631578947367,0.7496440615886528,8.061570994266484
179,1500,2.1052631578947367,0.7742630024007612,8.042945223266905
180,100,2.3684210526315788,0.5798539991386981,8.089767054277521
181,173,2.3684210526315788,0.6123816373468386,8.074321305107814
182,247,2.3684210526315788,0.7308501214670751,8.046395656608933
183,321,2.3684210526315788,0.7558649910465547,8.034706050878023
184,394,2.3684210526315788,0.6919431865099132,8.070010234797572
185,468,2.3684210526315788,0.7906818491920726,8.023301467626773
186,542,2.3684210526315788,0.7951986736587243,8.032653856505094
187,615,2.3684210526315788,0.821311419166553,8.016995822156606
188,689,2.3684210526315788,0.8534973417997603,8.00622346619946
189,763,2.3684210526315788,0.8318549472144624,8.006918905945236
190,836,2.3684210526315788,0.8502460518849683,7.998138204344553
191,910,2.3684210526315788,0.841532490760583,8.008206074039578
192,984,2.3684210526315788,0.8142280118098514,8.029765437910307
193,1057,2.3684210526315788,0.8116421620613514,8.01876217012695
194,1131,2.3684210526315788,0.8231877108562998,8.011361441242043
195,1205,2.3684210526315788,0.7804522086928232,8.040511944332405
196,1278,2.3684210526315788,0.8017178936495294,8.029354821956709
197,1352,2.3684210526315788,0.7895937396178354,8.041416918409638
198,1426,2.3684210526315788,0.7422196762221904,8.065567417264646
199,1500,2.3684210526315788,0.7704634671842948,8.04271790444466
200,100,2.631578947368421,0.5795792722941299,8.088463324416077
201,173,2.631578947368421,0.6094777414956373,8.07503209915497
202,247,2.631578947368421,0.7154977952793395,8.053586982581482
203,321,2.631578947368421,0.7490030949944283,8.035503500225861
204,394,2.631578947368421,0.6860070311471306,8.07105041506525
205,468,2.631578947368421,0.7816390780602431,8.026614211037685
206,542,2.631578947368421,0.7918082558270066,8.032068698046675
207,615,2.631578947368421,0.8083759366837996,8.02191357891504
208,689,2.631578947368421,0.8475254279213904,8.005989471317205
209,763,2.631578947368421,0.8233409736399395,8.01012127773524
210,836,2.631578947368421,0.8411073669815331,7.999904873057932
211,910,2.631578947368421,0.825420983006696,8.014208097014455
212,984,2.631578947368421,0.8099779780307848,8.028646115591657
213,1057,2.631578947368421,0.7988833538763561,8.022639272643389
214,1131,2.631578947368421,0.8067906864504477,8.017884096142332
215,1205,2.631578947368421,0.7675676156950239,8.043908919926603
216,1278,2.631578947368421,0.7860100884233141,8.035408871838207
217,1352,2.631578947368421,0.7864514410251287,8.041671178271324
218,1426,2.631578947368421,0.7370445444339804,8.066467501235673
219,1500,2.631578947368421,0.7641305914269417,8.045113967560347
220,100,2.894736842105263,0.5701421794948872,8.0941986578751
221,173,2.894736842105263,0.6010914083180688,8.079341413354944
222,247,2.894736842105263,0.7224813722331137,8.048841332582038
223,321,2.894736842105263,0.7528505777239881,8.029895769727315
224,394,2.894736842105263,0.6891631650839053,8.066828700880086
225,468,2.894736842105263,0.7797485446741157,8.026006811732062
226,542,2.894736842105263,0.7840817836675039,8.031906583477376
227,615,2.894736842105263,0.8140734606870846,8.014439672104277
228,689,2.894736842105263,0.84277118856227,8.00750325653278
229,763,2.894736842105263,0.8189773759737331,8.007632070958598
230,836,2.894736842105263,0.8258381640972515,8.00666599791082
231,910,2.894736842105263,0.8251987156572808,8.013440461709814
232,984,2.894736842105263,0.7920892215805582,8.037651651683808
233,1057,2.894736842105263,0.7995482461163677,8.019526250167262
234,1131,2.894736842105263,0.799752395325316,8.019546747640725
235,1205,2.894736842105263,0.7685663169969096,8.043238040619487
236,1278,2.894736842105263,0.778642283517342,8.037176311368697
237,1352,2.894736842105263,0.7593532931807523,8.052638019047691
238,1426,2.894736842105263,0.7193504135061526,8.074734599876624
239,1500,2.894736842105263,0.7669516433711665,8.043098994952375
240,100,3.1578947368421053,0.5707292171576612,8.091874320309149
241,173,3.1578947368421053,0.5921819648370892,8.083031694343852
242,247,3.1578947368421053,0.7150002098739348,8.04873690184105
243,321,3.1578947368421053,0.7545276585797094,8.029948956475245
244,394,3.1578947368421053,0.6768375642138686,8.074531452605504
245,468,3.1578947368421053,0.7805565621617052,8.023690777995295
246,542,3.1578947368421053,0.7866003991138959,8.028857766295099
247,615,3.1578947368421053,0.8081329011664004,8.017190831709637
248,689,3.1578947368421053,0.8362261451917444,8.008101966992413
249,763,3.1578947368421053,0.8141418226151678,8.011273064545822
250,836,3.1578947368421053,0.830781516765223,8.001274095368224
251,910,3.1578947368421053,0.8062362438783834,8.022147427618266
252,984,3.1578947368421053,0.7927406185645497,8.037310303452246
253,1057,3.1578947368421053,0.7972909491149442,8.018764432086266
254,1131,3.1578947368421053,0.8031330937559368,8.016326081905914
255,1205,3.1578947368421053,0.7702473056625678,8.039451115775504
256,1278,3.1578947368421053,0.7729767502011925,8.039553326053294
257,1352,3.1578947368421053,0.7510433022882976,8.054967237584405
258,1426,3.1578947368421053,0.7164498924045299,8.074692353111185
259,1500,3.1578947368421053,0.7583746976770144,8.04643619706508
260,100,3.4210526315789473,0.5731961569545753,8.088694085217174
261,173,3.4210526315789473,0.5887957553384864,8.081166080191629
262,247,3.4210526315789473,0.718326350823114,8.049418384521598
263,321,3.4210526315789473,0.7478431420024167,8.034303919303522
264,394,3.4210526315789473,0.6904034005157534,8.064551349825507
265,468,3.4210526315789473,0.7692784134008059,8.028400104113302
266,542,3.4210526315789473,0.772113018310013,8.039241070369835
267,615,3.4210526315789473,0.7992981328352503,8.022313910610672
268,689,3.4210526315789473,0.8179828735316682,8.014862827950571
269,763,3.4210526315789473,0.8006416315683993,8.01697763013319
270,836,3.4210526315789473,0.827754526435103,8.001832585630668
271,910,3.4210526315789473,0.8160232542332243,8.015148961702172
272,984,3.4210526315789473,0.8078834113577961,8.024471382103224
273,1057,3.4210526315789473,0.8100992215388431,8.009156277678123
274,1131,3.4210526315789473,0.8057383901193584,8.014232241333659
275,1205,3.4210526315789473,0.7605817914410689,8.039317628442076
276,1278,3.4210526315789473,0.7936299535260556,8.023868030745398
277,1352,3.4210526315789473,0.7809720675989321,8.037931834797208
278,1426,3.4210526315789473,0.7182406680751945,8.068937592477702
279,1500,3.4210526315789473,0.7451730916423754,8.050050046664015
280,100,3.6842105263157894,0.5576953891553126,8.095922039399971
281,173,3.6842105263157894,0.58945165736894,8.083981871176439
